ad_id,title,location,price,year,mileage,condition,fuel_type,transmission,make,model,version,color,doors,seats,interior,warranty,owners,body_type,payment_option,source,extra_features
130538269,فولكسفاغن جيتا 2016,"Al Hail, Muscat",2200,2016,180,,3,2,35,Jetta,للبيع فولكس فاجن جيتا,Grey,4-5,4,Full Leather,No,1,Sedan,Cash,gcc,"['17', '20', '25', 'Brand: Volkswagen', 'Air Conditioning: Automatic air conditioning 3 zones', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130315887,فولكسفاغن جيتا 2016,"Bosher, Muscat",2500,2016,182000,,3,2,35,Jetta,2016,Grey,4-5,5,Full Leather,No,1,Sedan,Cash,gcc,"['Brand: Volkswagen', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130182214,Nissan Sentra 2021 VERY low mileage,"Barka, Al Batinah",3500,2021,30000,,3,2,66,Sentra,,Silver,4-5,5,Cloth,No,2,Sedan,Cash,europe,"['36', '17', '19', '20', '27', '11', '25', '1', '3', '15', '42', '5', '32', '38', '26', '6', '7', '21', '8', '14', '44', '45', 'Brand: Nissan', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: Europe']"
130538196,Porsche Cayenne S 2014,"Al Hail, Muscat",8000,2014,95000,,3,2,30,Cayenne S,,Black,4-5,5,Full Leather,No,2,SUV,Cash,gcc,"['Brand: Porsche', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: GCC']"
130417392,Lexus RX-Series 2022,"Azaiba, Muscat",13300,2022,50666,,3,2,89,RX-Series,350,Grey,4-5,,,Does Not Apply,,SUV,Cash,us,"['36', '17', '25', '22', '7', '8', '24', 'Brand: Lexus', 'Number of doors: 4/5', 'Source: US']"
130507487,Mercedes-Benz S-Class 2021,"Al Khuwair, Muscat",37500,2021,76000,,3,2,33,S-Class,,White,4-5,5,Full Leather,No,1,Sedan,Cash,gcc,"['34', '36', '17', '19', '20', '27', '11', 'Brand: Mercedes-Benz', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130538116,فورد فوكس 2013,"Al Maabilah, Muscat",950,2013,175000,,3,2,47,Focus,standred,Black,4-5,4,Velour,Yes,,Hatchback,Cash,europe,"['17', '19', '20', '25', '1', '3', '4', '9', '42', '5', '28', '32', '38', '26', '7', '30', '8', '13', '24', '10', '45', 'Brand: Ford', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Number of doors: 4/5', 'Source: Europe']"
130538071,Toyota Camry 2017 LE,"Al Ghubrah, Muscat",3300,2017,194339,,3,2,65,Camry,LE,White,4-5,5,Full Leather,Does Not Apply,1,Sedan,Cash,gcc,"['Brand: Toyota', 'Power (hp): 24', 'Consumption (l/100 km): 12', 'Air Conditioning: A/C manual', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
129603584,فولكسفاغن جولف آر 2013,"Sumail, Al Dakhiliya",3100,2013,267000,,3,2,35,Golf R,جولف R 2013,Black,4-5,4,Full Leather,Yes,,Sports Car,Cash,gcc,"['1', '3', '21', '5', '28', '8', '32', '34', '36', '17', '20', '38', '22', '24', '7', '9', '11', '15', '18', '25', '40', '45', '46', 'Brand: Volkswagen', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 4', 'Number of doors: 4/5', 'Source: GCC']"
130538042,Kia Rio 2018,"Bosher, Muscat",3000,2018,123000,,3,2,53,Rio,1.6,Red,4-5,,Cloth,Does Not Apply,,Sedan,Cash,gcc,"['19', '20', '27', '1', '3', '42', '5', '32', '38', '26', '6', '7', '16', 'Brand: Kia', 'Consumption (l/100 km): 6.4', 'Air Conditioning: A/C manual', 'Number of doors: 4/5', 'Source: GCC']"
130538034,نيسان ارمادا 2005,"Suwaiq, Al Batinah",1300,2005,300000,,3,2,66,Armada,,Grey,4-5,7,Velour,No,,Estate,Cash,gcc,"['3', '5', '21', '8', 'Brand: Nissan', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 7', 'Number of doors: 4/5', 'Source: GCC']"
129544570,Hyundai Tucson 2015 model,"Al Khuwair, Muscat",2675,2015,235000,,3,2,45,Tucson,2015,Silver,4-5,5,,No,1,SUV,Cash,gcc,"['1', '3', '21', '5', '28', '29', '31', '32', '33', '16', '17', '19', '20', '37', '38', '22', '26', '7', '10', '18', 'Brand: Hyundai', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130537949,Suzuki Grand Vitara 2015,"Darsait, Muscat",3100,2015,300000,,3,2,36,Grand Vitara,,Brown,4-5,,Full Leather,No,,SUV,Cash,gcc,"['36', '19', '20', '11', '25', '1', '3', '5', '32', '38', '26', '6', '7', '8', '13', '16', '10', '14', 'Brand: Suzuki', 'Air Conditioning: Automatic air conditioning', 'Number of doors: 4/5', 'Source: GCC']"
130197802,هيونداي سوناتا 2014,"Al Khoud, Muscat",1900,2014,200000,,3,2,45,Sonata,خليجي,Silver,4-5,4,Cloth,Yes,1,Sedan,Cash,gcc,"['17', '19', '20', 'Brand: Hyundai', 'Consumption (l/100 km): 2', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 4', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130429374,نيسان التيما 2022,"Al Maabilah, Muscat",4500,2022,124,,3,2,66,Altima,sr,Blue,,4,Full Leather,Yes,1,Sedan,Cash,us,"['20', '18', '25', '3', '22', 'Brand: Nissan', 'Power (hp): 25', 'Consumption (l/100 km): 10', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 4', 'Number of Owners: 1', 'Source: US']"
130403937,BMW 318 I,"Qurum, Muscat",4750,2018,127406,,3,2,57,3-Series,Sedan,White,4-5,5,Full Leather,No,2,Sedan,Cash,gcc,"['19', '20', '3', '4', '15', '5', '31', '32', '38', '26', '6', '7', 'Brand: BMW', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 2', 'Source: GCC']"
130321689,نيسان التيما 2017,"Sohar, Al Batinah",2400,2017,178000,,3,2,66,Altima,2,White,4-5,5,Velour,Does Not Apply,5,Sedan,Cash,us,"['36', '17', '11', '18', '22', '45', 'Brand: Nissan', 'Power (hp): 10', 'Consumption (l/100 km): 10', 'Air Conditioning: Automatic air conditioning 4 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 5', 'Source: US']"
