car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
تويوتا كامرى XSE موديل 2018 مع ضمان 3 سنوات,"Al Seeb, Muscat•",2018,"OMR 6,500",173000,Automatic,'4/5,US,Camry,Blue,N/A,Toyota
تويوتا راف فور LE موديل 2022 مع ضمان 3 سنوات,"Al Seeb, Muscat•",2022,"OMR 8,200",36000,Automatic,'4/5,US,Rav 4,White,N/A,Toyota
كاديلاك إسكاليد 2016,"Barka, Al Batinah•",2016,"OMR 12,500",172898,Automatic,'4/5,GCC,Escalade,Brown,N/A,Cadillac
هيونداي إلينترا 2022,"Al Seeb, Muscat•",2022,"OMR 5,200",49000,Automatic,'4/5,US,Elantra,White,N/A,Hyundai
نيسان باترول 2025,"Al Masn'a, Al Batinah•",2025,"OMR 31,700",-,Automatic,'4/5,GCC,Patrol,Silver,N/A,Nissan
GMC Sierra 2018,"Bosher, Muscat•",2018,"OMR 7,800",110000,Automatic,'4/5,Canada,Sierra,Brown,N/A,GMC
لكزس فئة - إل إكس 2020,"Al Maabilah, Muscat•",2020,"OMR 30,550",141892,Automatic,'4/5,US,LX-Series,White,N/A,Lexus
عينك ع السعر سوبربان LT خليجية بدون حوادث نهائيا مالك الاول,"Barka, Al Batinah•",2017,"OMR 9,900",127000,Automatic,'4/5,GCC,Suburban,Gold,N/A,Chevrolet
إنفينتي QX60 خليجي GCC من المالك الأول بدون حوادث ولاصبغ نهائيا,"Barka, Al Batinah•",2017,"OMR 7,900",145000,Automatic,'4/5,GCC,Other,White,N/A,Infiniti
فورتشنر أعلى مواصفات VXR V6 بدون حوادث ولاصبغ سيرفس وكاله المالك الاول,"Barka, Al Batinah•",2022,"OMR 14,900",100,Automatic,'4/5,GCC,Fortuner,Brown,N/A,Toyota
لاندكروزر GXR 4.6 V8 بدون حوادث ولاصبغ نهائيا جديدة جدا المالك الاول,"Barka, Al Batinah•",2019,"OMR 18,900",165,Automatic,'4/5,GCC,Land Cruiser,White,N/A,Toyota
إنفينيتي QX80 خليجي أعلى مواصفات بدون حوادث ولاصبغ نهائيا سيرفس وكاله,"Barka, Al Batinah•",2019,"OMR 15,900",120,Automatic,'4/5,GCC,QX80,White,N/A,Infiniti
لكزس GX460 وكالة عمان بدون حوادث ولا صبغ المالك الأول Oman car GCC,"Barka, Al Batinah•",2019,"OMR 16,900",80,Automatic,'4/5,GCC,GX-Series,Brown,N/A,Lexus
لكزس فئة - جي إكس 2017,"Al Hail, Muscat•",2017,"OMR 11,900",140000,Automatic,'4/5,GCC,GX-Series,White,N/A,Lexus
لكزس فئة - جي إكس 2022,"Al Ghubrah, Muscat•",2022,"OMR 22,800",54000,Automatic,'4/5,GCC,GX-Series,Red,N/A,Lexus
تويوتا كورولا 2.0 XLI خليجي وكالة بهوان 2018,"Al Ghubrah, Muscat•",2018,"OMR 5,200",261000,Automatic,'4/5,GCC,Corolla,White,N/A,Toyota
لاندروفر ديفندر 110 فئة HSE p400 خليجي 2021,"Al Ghubrah, Muscat•",2021,"OMR 27,800",83000,Automatic,'4/5,GCC,Defender,White,N/A,Land Rover
تويوتا لاندكروزر V8 GXR جراند تورنج 2020 خليجي نظيف,"Al Ghubrah, Muscat•",2020,"OMR 22,900",147000,Automatic,'4/5,GCC,Land Cruiser,Grey,N/A,Toyota
تويوتا هايلاندر 2017,"Al Maabilah, Muscat•",2017,"OMR 7,300",139000,Automatic,'4/5,US,Highlander,White,N/A,Toyota
إنفينيتي كيو إكس 80 2023,"Al Maabilah, Muscat•",2023,"OMR 20,500",29000,Automatic,'4/5,US,QX80,Grey,N/A,Infiniti
فورد موستانج 2018,"Al Maabilah, Muscat•",2018,"OMR 9,900",166000,Automatic,N/A,US,Mustang,Black,N/A,Ford
KIA ALL NEW SPORTAGE 1.6T SRF 2WD - MY:2023,"Ruwi, Muscat•",2023,"OMR 8,500",3383,Automatic,'4/5,GCC,Sportage,Brown,N/A,Kia
