brand,model,year,color,transmission_type,number_of_doors,source,kilometers,price
mercedes,e 63 amg,2020,grey,automatic,4/5,us,50000,22500.0
toyota,land cruiser,2011,white,manual,4/5,gcc,1111,9500.0
mercedes,gle 53 coupe amg,2024,white,automatic,4/5,us,18000,39900.0
mercedes,gle 450 amg,2023,grey,automatic,4/5,us,34000,26900.0
mercedes,glc 300,2020,white,automatic,4/5,us,66000,13800.0
jeep,gladiator,2023,blue,automatic,4/5,us,13000,14300.0
nissan,altima,2019,white,automatic,4/5,us,128734,4450.0
toyota,camry,2023,grey,automatic,4/5,gcc,3932,10950.0
nissan,versa,2012,white,automatic,4/5,us,129014,1550.0
lincoln,mkz,2017,gold,automatic,4/5,us,131218,4750.0
toyota,fortuner,2022,white,automatic,4/5,us,97667,12750.0
infiniti,q50,2017,silver,automatic,4/5,us,199825,4450.0
hyundai,elantra,2021,black,automatic,4/5,us,131170,5150.0
toyota,camry,2022,grey,automatic,4/5,us,42281,8250.0
nissan,altima,2020,grey,automatic,4/5,us,120905,4450.0
lincoln,mkz,2019,other,automatic,4/5,us,95542,4350.0
nissan,sentra,2021,burgundy,automatic,4/5,us,95542,4350.0
nissan,altima,2021,grey,automatic,4/5,us,50936,5250.0
toyota,prado,2013,gold,automatic,4/5,gcc,287473,7150.0
toyota,rav 4,2016,blue,automatic,4/5,us,171346,4550.0
toyota,corolla,2020,silver,automatic,4/5,us,124313,4350.0
kia,telluride,2022,white,automatic,4/5,gcc,17238,9550.0
ford,f150,2020,grey,automatic,4/5,us,109448,8750.0
toyota,camry,2017,white,automatic,4/5,us,186450,4350.0
nissan,armada,2017,other,automatic,4/5,us,92505,7950.0
kia,sportage,2024,white,automatic,4/5,gcc,60000,7700.0
renault,duster,2022,white,automatic,4/5,gcc,130000,3450.0
kia,sportage,2022,red,automatic,4/5,gcc,116000,6200.0
kia,optima,2006,black,automatic,4/5,gcc,365000,750.0
foton,view c2,2020,white,manual,4/5,gcc,45000,5500.0
toyota,hiace,2023,white,manual,4/5,gcc,64000,8200.0
hyundai,creta,2022,silver,automatic,4/5,gcc,150000,5500.0
mitsubishi,pickup,2020,white,manual,4/5,gcc,70000,6600.0
isuzu,reward,2019,white,manual,4/5,gcc,150000,5850.0
renault,duster,2021,white,automatic,4/5,gcc,72000,3500.0
renault,duster,2018,white,automatic,4/5,gcc,131000,2100.0
toyota,fortuner,2020,white,automatic,4/5,gcc,146000,9750.0
toyota,fortuner,2021,white,automatic,4/5,gcc,107999,11200.0
nissan,sunny,2022,white,automatic,4/5,gcc,120000,3750.0
